WorkStationID;WorkStationName;DistrictDesc;ProvinceDesc;MFL Code;DHIS2 UID;Hims code;Name;Province;District;Constituency;Ward;Zone;Location;Type;Ownership;Ownership type;Operational status;Mobility status;Accesibility;Catchment population head count;Catchment population cso;Number of households;Latitude;Longitude
27;SAKA SURGERY;LUSAKA;LUSAKA;4312;;50060248;SAKA SURGERY;LUSAKA;LUSAKA;Munali;Mtendere;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,3992112;28,28051438
28;SOS MEDICAL CENTRE;LUSAKA;LUSAKA;4317;VtBghcd7h94;50060297;WHB MEDICAL CENTRE;LUSAKA;LUSAKA;Mandevu;Mulungushi;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,392212;28,308881
28;SOS MEDICAL CENTRE;LUSAKA;LUSAKA;4291;;50060012;BABA MEDICAL CENTRE;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,3992112;28,25854172
28;SOS MEDICAL CENTRE;LUSAKA;LUSAKA;4298;;50060214;ODALA MEDICAL CENTRE;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;;
28;SOS MEDICAL CENTRE;LUSAKA;LUSAKA;3665;;50060247;RISCH MEDICAL CENTRE;LUSAKA;LUSAKA;Kanyama;Makeni Villa;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,428495;28,214517
28;SOS MEDICAL CENTRE;LUSAKA;LUSAKA;1509;;50060265;ST JOHNS MEDICAL CENTRE;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;Health Centre;Private;Private;Functional;Fixed;Open;;;;-15,4304;28,25431
28;SOS MEDICAL CENTRE;LUSAKA;LUSAKA;4238;WGpYeOTPEq2;50060067;CROSSROADS MEDICAL CENTRE;LUSAKA;LUSAKA;Kanyama;Harry Mwaanga Nkumbula;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,431907;28,25883
31;NAKONGA CLINIC;LUSAKA;LUSAKA;4285;;50060205;NAKONGA CLINIC;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,48392918;28,28051438
33;MAZABUKA CENTRAL MEDICAL CLINIC;MAZABUKA;SOUTHERN;4395;;;MAZABUKA CENTRAL MEDICAL CLINIC;SOUTHERN;MAZABUKA;Mazabuka Central;Kaonga;;Urban;Health Centre;Private;Public;Functional;Fixed;Open;;;;"-15.8624941	";27,766817
34;CHENGELO SCHOOL CLINIC;MKUSHI;CENTRAL;3750;lVSV27P2nck;10080003 ;CHENGELO CLINIC;CENTRAL;MKUSHI;Mkushi North;Nkolonga;;Rural;Health Post;Private;Public;Functional;Fixed;Restricted;;;;-13628105;29,384462
40;L J EYE OPTICIANS CLINIC;LUSAKA;LUSAKA;4261;;50060089;EYE-CO OPTICIANS CLINIC;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;Eye clinic;Private;Private;Functional;Fixed;Open;;;;-15,4172654;28,281578
41;FAIRVIEW HOSPITAL;LUSAKA;LUSAKA;1519;ukQAVd8LBAm;50060091;FAIRVIEW HOSPITAL;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;1st Level Hospital;Private;Private;Functional;Fixed;Open;;;;-15,41684;28,29549
43;CARE FOR YOU MEDICAL CLINIC;LUSAKA;LUSAKA;4219;;50060027;CARE FOR YOU MEDICAL CLINIC LIMITED;LUSAKA;LUSAKA;Matero;Matero;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,402893;28,312213
53;LIVING HOPE CLINIC;LUSAKA;LUSAKA;4334;;50060154;LIVING HOPE CLINIC;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,404134;28,294806
57;EBENEZER MEDICAL CLINIC;LUSAKA;LUSAKA;4199;tYzMRLiaZ70;50060349;AMEER MEDICAL CLINIC;LUSAKA;LUSAKA;Munali;Munali;;Urban;General clinic;Private;Private;Functional;Fixed;Open;;;;-15,42039394;28,21459641
65;MUBUYU HEALTH POST;MAZABUKA;SOUTHERN;1388;Mo46bcaxf8y;80070029;MUSANGU HEALTH POST;SOUTHERN;MAZABUKA;Mazabuka Central;Mugoto;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;2931;2734;649;-15,92190687;28,03526438
65;MUBUYU HEALTH POST;MAZABUKA;SOUTHERN;4392;GLBAkotgvb7;;CHIBUYU HEALTH POST;SOUTHERN;MAZABUKA;Magoye;Nkonkola;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;1538;1677;;-15,62108488;29,70943869
65;MUBUYU HEALTH POST;MAZABUKA;SOUTHERN;4394;PHqjVBoX32C;;MBIYA HEALTH POST;SOUTHERN;MAZABUKA;Magoye;Munenga;;Rural;Health Post;MOH;Public;Temporarily closure ;Fixed;Open;2100;2561;;"-15.940008	";27,623155
65;MUBUYU HEALTH POST;MAZABUKA;SOUTHERN;1338;pqg0ZNY3DMP;80070031;MUSUMA HEALTH POST;SOUTHERN;MAZABUKA;Magoye;Musuma;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;2325;3755;486;-16,090103;27,739159
66;CHIKANKATA MISSION HOSPITAL ;CHIKANKATA;SOUTHERN;1297;f1xJ7qGnaGx;80010004;CHIKANKATA MISSION HOSPITAL;SOUTHERN;CHIKANKATA;Chikankata;Munyomenzyi;;Rural; 2nd Level Hospital;Faith Based ;Public;Functional;Fixed;Open;;;;-16,229237;28,1446943
67;MTENDERE MISSION HOSPITAL;CHIRUNDU;SOUTHERN;1361;XqKkJUutg8T;50020012;MTENDERE MISSION HOSPITAL;SOUTHERN;CHIRUNDU;Chirundu;Chirundu;;Urban; 2nd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-16,022035;28,824525
67;MTENDERE MISSION HOSPITAL;CHIRUNDU;SOUTHERN;1362;;50020013;MTENDERE MISSION HAHC;SOUTHERN;CHIRUNDU;Chirundu;Chirundu;;Urban;Health Centre;MOH;Public;Functional;Fixed;Open;18672;18672;3431;-16,022035;28,824525
68;MACHA MISSION HOSPITAL ;CHOMA;SOUTHERN;1249;mjZaRNREzS4;80020013;MACHA MISSION HOSPITAL;SOUTHERN;CHOMA;Mbabala;Macha;;Rural; 2nd Level Hospital;Faith Based ;Public;Functional;Fixed;Open;;;;-16,39207179;26,79035543
80;CHALATA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3640;;10080005;CHISANGA  RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Musofu;;Urban;Health Centre;Faith Based ;Public;Functional;Fixed;Open;;;;-13,588111;28,900789
80;CHALATA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3748;;10080001;CHALATA RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Chalata;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;41,257;5,314;;-13,5508694;29,6831542
81;CHIBEFWE RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3751;;10080004;CHIBEFWE RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Chibefwe;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;41,257;27,725;;-13,6168;29,3952
83;CHIMIKA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3640;;10080005;CHISANGA  RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Musofu;;Urban;Health Centre;Faith Based ;Public;Functional;Fixed;Open;;;;-13,588111;28,900789
83;CHIMIKA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3641;;10080007;FIWILA RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nkulumashiba;;Rural;Health Centre;Faith Based ;Public;Functional;Fixed;Open;;;;-13,9709;29,606
83;CHIMIKA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3748;;10080001;CHALATA RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Chalata;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;41,257;5,314;;-13,5508694;29,6831542
84;CHINGOMBE RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3640;;10080005;CHISANGA  RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Musofu;;Urban;Health Centre;Faith Based ;Public;Functional;Fixed;Open;;;;-13,588111;28,900789
84;CHINGOMBE RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3772;;10080033 ;NSHINSO RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nshinso;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;8423;5,661;;-13,7752746;29,8195208
84;CHINGOMBE RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3751;;10080004;CHIBEFWE RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Chibefwe;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;41,257;27,725;;-13,6168;29,3952
84;CHINGOMBE RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3766;i2qmaJHoFSf;10080025;MULUNGWE RURAL HEALTH CENTRE;CENTRAL;MKUSHI;Mkushi North;Kalwa;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;;4877;;-13,91834;29,812673
85;FIWILA RURAL HEALTH HEALTH ;MKUSHI;CENTRAL;3641;;10080007;FIWILA RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nkulumashiba;;Rural;Health Centre;Faith Based ;Public;Functional;Fixed;Open;;;;-13,9709;29,606
86;KAKUSHI RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3772;;10080033 ;NSHINSO RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nshinso;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;8423;5,661;;-13,7752746;29,8195208
86;KAKUSHI RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3771;;10080032;NKUMBI RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nkumbi;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;15,675;7,774;;-13,747072;29,070343
88;LUANSHIMBA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3772;;10080033 ;NSHINSO RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nshinso;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;8423;5,661;;-13,7752746;29,8195208
88;LUANSHIMBA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3758;;10080016 ;ZNS LUANSHIMBA RURAL HEALTH CENTRE;CENTRAL;MKUSHI;Mkushi North;Kabengeeshi;;Rural;Health Centre;ZDF;Public;Functional;Fixed;Open;6797;3,598;;-13,709087;29,586333
89;MASANSA RURAL HEALTH CENTRE;LUANO;CENTRAL;3576;;10070007;KANYESHA RURAL HEALTH CENTER;CENTRAL;LUANO;Mkushi South;Lundashi;;Urban;Health Centre;MOH;Public;Functional;Fixed;Open;3881;1695;;-14,857982;29,395109
89;MASANSA RURAL HEALTH CENTRE;LUANO;CENTRAL;3745;;10070009;MBOSHYA RURAL HEALTH CENTER;CENTRAL;LUANO;Mkushi South;Chipaba;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;5418;1626;540;-15,231;27,8693
92;NDOLA GENERAL HOSPITAL ;NDOLA;COPPERBELT;2314;KoJXIXFMXxF;200100058; NDOLA CENTRAL HOSPITAL;COPPERBELT;NDOLA;Ndola Central;Kanini;;Urban; 3rd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-12,97018895;28,6336707
93;RONALD ROSS HOSPITAL ;MUFULIRA;COPPERBELT;2473;;20090033;RONALD ROSS GENERAL HOSPITAL;COPPERBELT;MUFULIRA;Mufulira;Bwafwano;;Urban; 2nd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-12,542117;28,23825
94;CHIPATA CENTRAL HOSPITAL ;CHIPATA;EASTERN;4388;s8ESdlaODHN;30020013;CHIPATA CENTRAL HOSPITAL;EASTERN;CHIPATA;Chipata Central;Dilika;;Urban; 3rd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-13,6483;32,6418
95;ST FRANCIS MISSION HOSPITAL ;KATETE;EASTERN;1959;;30030033;ST. FRANCIS MISSION HOSPITAL;EASTERN;KATETE;Mkaika;Mphangwe;;Urban; 2nd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-14,06451;32,015472
96;CANCER  DISEASES HOSPITAL ;LUSAKA;LUSAKA;1506;;50060024;UTH CANCER DISEASES HOSPITAL;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban; 3rd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-15,433826;28,312777
97;UNIVERSITY TEACHING HOSPITAL ;LUSAKA;LUSAKA;1507;;50060282;UNIVERSITY TEACHING HOSPITAL - ADULT;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban; 3rd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-15,432238;15,432238
97;UNIVERSITY TEACHING HOSPITAL ;LUSAKA;LUSAKA;1510;;50060284;UNIVERSITY TEACHING HOSPITAL - EYE;LUSAKA;LUSAKA;Lusaka Central;Independence;;Urban; 3rd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-15,430214;28,31263
98;LEVY MWANAWASA TEACHING HOSPITAL ;LUSAKA;LUSAKA;1532;;50060146;LEVY MWANAWASA HOSPITAL;LUSAKA;LUSAKA;Munali;Munali;;Urban; 3rd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-15,385919;28,352694
99;LIVINGSTONE CENTRAL HOSPITAL;LIVINGSTONE;SOUTHERN;3095;YialQ0LbIwu;80060014;LIVINGSTONE CENTRAL HOSPITAL;SOUTHERN;LIVINGSTONE;Livingstone;Akapelwa;;Urban; 3rd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-17,84159;25,85375
100;KITWE TEACHING HOSPITAL ;KITWE;COPPERBELT;2410;;20040048;KITWE TEACHING HOSPITAL ;COPPERBELT;KITWE;Kwacha;Parklands;;Urban; 3rd Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-12,78802;28,20686
101;CHARLES LWANGA HEALTH CENTRE;MONZE;SOUTHERN;1243;LEUc0Guuz7r;80080004; CHARLES LWANGWA RURAL HEALTH CENTRE;SOUTHERN;MONZE;Monze Central;Ufwenuka;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;3444;3272;;-16,42326799;27,55455282
103;KAUMBA HEALTH POST;MONZE;SOUTHERN;1315;RlM78A7eVhB;80080048; NTAMBO HEALTH POST;SOUTHERN;MONZE;Moomba;Mwanza West;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;3700;3587;;-16,17638581;27,65055419
103;KAUMBA HEALTH POST;MONZE;SOUTHERN;1284;fv24hTQ7fkc;80080045; MULUMBWA HEALTH POST;SOUTHERN;MONZE;Monze Central;Manungu;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;17486;11373;;-16,28943097;27,67074066
103;KAUMBA HEALTH POST;MONZE;SOUTHERN;1344;fXGbNZxweuV;80080042; MAHIBA HEALTH POST;SOUTHERN;MONZE;Bweengwa;Hamusonde;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;3581;3019;;-16,08153501;27,35376525
103;KAUMBA HEALTH POST;MONZE;SOUTHERN;2000;NigiDeaEsxb;80080016; KAYOLA HEALTH POST;SOUTHERN;MONZE;Moomba;Chona;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;3150;2973;;-13,94805227;29,81949862
103;KAUMBA HEALTH POST;MONZE;SOUTHERN;2038;LsWdE12aQIe;80080017; KAUMBA HEALTH POST;SOUTHERN;MONZE;Moomba;Mwanza West;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;4869;4687;;-13,77545286;29,89549264
106;MONZE URBAN HEALTH CENTRE;MONZE;SOUTHERN;1283;JypL6gn4pD5;80080021; MANUNGU URBAN HEALTH CENTRE;SOUTHERN;MONZE;Monze Central;Manungu;;Urban;Health Centre;MOH;Public;Functional;Fixed;Open;38392;36240;;-16,29315261;27,19440632
106;MONZE URBAN HEALTH CENTRE;MONZE;SOUTHERN;1376;qdYMh5wbzjv;80080025; MOONZWE RURAL HEALTH CENTRE;SOUTHERN;MONZE;Bweengwa;Kaila;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;6173;5827;;-15,97082198;27,86200647
106;MONZE URBAN HEALTH CENTRE;MONZE;SOUTHERN;1287;asRtFp0K6Hu;80080023; MONZE URBAN HEALTH CENTRE;SOUTHERN;MONZE;Monze Central;Monze Urban;;Urban;Health Centre;MOH;Public;Functional;Fixed;Open;24800;21965;;-16,27667321;27,47483237
107;MILOSO RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3641;;10080007;FIWILA RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nkulumashiba;;Rural;Health Centre;Faith Based ;Public;Functional;Fixed;Open;;;;-13,9709;29,606
107;MILOSO RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3772;;10080033 ;NSHINSO RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nshinso;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;8423;5,661;;-13,7752746;29,8195208
107;MILOSO RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3768;;10080027;MUSOFU RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Musofu;;Rural;Health Centre;Faith Based ;Public;Functional;Fixed;Open;4,247;4,158;;-13,91121317;29,11547531
107;MILOSO RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3771;;10080032;NKUMBI RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nkumbi;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;15,675;7,774;;-13,747072;29,070343
107;MILOSO RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3766;i2qmaJHoFSf;10080025;MULUNGWE RURAL HEALTH CENTRE;CENTRAL;MKUSHI;Mkushi North;Kalwa;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;;4877;;-13,91834;29,812673
108;MKUSHI DISTRICT HOSPITAL ;MKUSHI;CENTRAL;2085;jDQGrAJjFaS;10080022;MKUSHI DISTRICT HOSPITAL;CENTRAL;MKUSHI;Mkushi North;Chibefwe;;Urban;1st Level Hospital;MOH;Public;Functional;Fixed;Open;;;;-13,6167;29,3953
110;MUNSAKAMBA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3758;;10080016 ;ZNS LUANSHIMBA RURAL HEALTH CENTRE;CENTRAL;MKUSHI;Mkushi North;Kabengeeshi;;Rural;Health Centre;ZDF;Public;Functional;Fixed;Open;6797;3,598;;-13,709087;29,586333
110;MUNSAKAMBA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3767;;10080026;ZNS MUNSAKAMBA RURAL HEALTH CENTRE;CENTRAL;MKUSHI;Mkushi North;Munsakamba;;Rural;Health Centre;ZDF;Public;Functional;Fixed;Open;10,721;6,354;;-13,6355;29,6059
111;MUSOFU RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3768;;10080027;MUSOFU RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Musofu;;Rural;Health Centre;Faith Based ;Public;Functional;Fixed;Open;4,247;4,158;;-13,91121317;29,11547531
111;MUSOFU RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3766;i2qmaJHoFSf;10080025;MULUNGWE RURAL HEALTH CENTRE;CENTRAL;MKUSHI;Mkushi North;Kalwa;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;;4877;;-13,91834;29,812673
112;NKOLONGA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3766;i2qmaJHoFSf;10080025;MULUNGWE RURAL HEALTH CENTRE;CENTRAL;MKUSHI;Mkushi North;Kalwa;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;;4877;;-13,91834;29,812673
113;NKUMBI RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3771;;10080032;NKUMBI RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nkumbi;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;15,675;7,774;;-13,747072;29,070343
114;NSHISO RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3772;;10080033 ;NSHINSO RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nshinso;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;8423;5,661;;-13,7752746;29,8195208
114;NSHISO RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3768;;10080027;MUSOFU RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Musofu;;Rural;Health Centre;Faith Based ;Public;Functional;Fixed;Open;4,247;4,158;;-13,91121317;29,11547531
114;NSHISO RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3771;;10080032;NKUMBI RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Nkumbi;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;15,675;7,774;;-13,747072;29,070343
115;CHEMBE RURAL HEALTH CENTRE ;MKUSHI;CENTRAL;3751;;10080004;CHIBEFWE RURAL HEALTH CENTER;CENTRAL;MKUSHI;Mkushi North;Chibefwe;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;41,257;27,725;;-13,6168;29,3952
116;KAMBELENGA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3766;i2qmaJHoFSf;10080025;MULUNGWE RURAL HEALTH CENTRE;CENTRAL;MKUSHI;Mkushi North;Kalwa;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;;4877;;-13,91834;29,812673
117;TWATASHA RURAL HEALTH CENTRE;MKUSHI;CENTRAL;3776;;10080038;TWATASHA RURAL HEALTH POST;CENTRAL;MKUSHI;Mkushi North;Matuku;;Rural;Health Post;MOH;Public;Functional;Fixed;Open;3486;3,026;;-13,805722;29,463847
119;NJOLAMWANZA RURAL HEALTH CENTRE;MONZE;SOUTHERN;1308;jnoU8HEsHLu;80080012; HAMANGABA RURAL HEALTH CENTRE;SOUTHERN;MONZE;Bweengwa;Hamangaba;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;8100;7568;;-16,19603788;27,26475178
119;NJOLAMWANZA RURAL HEALTH CENTRE;MONZE;SOUTHERN;1306;RTsaYvynrKv;80080030; NJOLAMWANZA RURAL HEALTH CENTRE;SOUTHERN;MONZE;Moomba;Mwanza East;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;14472;12335;;-16,198139;27,71357554
120;LUYABA RURAL HEALTH CENTRE;ZIMBA;SOUTHERN;1071;UfCPzNlKO8K;80130004;LUYABA RURAL HEALTH CENTRE;SOUTHERN;ZIMBA;Mapatizya;Luyaba;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;16533;9904;2868;-17,38977509;26,64390204
120;LUYABA RURAL HEALTH CENTRE;ZIMBA;SOUTHERN;1086;fwcQJ0J17Sb;80130007;NAKOWA RURAL HEALTH CENTRE;SOUTHERN;ZIMBA;Mapatizya;Zimba;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;12622;5868;5020;-17,31589156;26,19292973
120;LUYABA RURAL HEALTH CENTRE;ZIMBA;SOUTHERN;1068;eDHzE6SBcLx;80130006;MUZYA RURAL HEALTH CENTRE;SOUTHERN;ZIMBA;Mapatizya;Mangonda;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;4352;4156;755;-17,42172649;26,27506155
120;LUYABA RURAL HEALTH CENTRE;ZIMBA;SOUTHERN;1048;kOzXxz7g2xi;80130008;SIAMAFUMBA RURAL HEALTH CENTRE;SOUTHERN;ZIMBA;Mapatizya;Siamafumba;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;15217;10788;1820;-17,51251131;26,60263988
121;RUSANGU HEALTH CENTRE;MONZE;SOUTHERN;1239;qcXCAXLZiWI;80080032; RUSANGU RURAL HEALTH CENTRE;SOUTHERN;MONZE;Monze Central;Manungu;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;9372;9628;;-16,44040434;27,53396644
122;MALUNDU HEALTH CENTRE;MONZE;SOUTHERN;1350;i5Rmaqet1KT;80080020; MALUNDU RURAL HEALTH CENTRE;SOUTHERN;MONZE;Bweengwa;Malundu;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;6231;5309;;-16,06604685;27,28091989
123;HAMANGABA HEALTH CENTRE;MONZE;SOUTHERN;1308;jnoU8HEsHLu;80080012; HAMANGABA RURAL HEALTH CENTRE;SOUTHERN;MONZE;Bweengwa;Hamangaba;;Rural;Health Centre;MOH;Public;Functional;Fixed;Open;8100;7568;;-16,19603788;27,26475178
